Doc Name,Observation Unit,Source Document,Judges On Panel,Appointing Presidents On Panel,Appointing Parties On Panel,Policy Instrument Purpose,Plaintiff Immigration Status Type,Policy Instrument Type,Policy Instrument Issuing Authority,Court Decision Legal Basis,Decision Date,Immigration Policy At Issue,Executive Order Name,Legal Challenge Grounds,Defendant Entity Types,Injunction Scope,Policy Instrument Date,Judge Names,Judge Decision Outcome,Case Subject Matter,Administration At Issue,Policy Instrument Target Group,Executive Order Number,Judge Decision Tendency,Court Level,Case Proceeding Type,Plaintiff Entity Types,Court name
Justice Alito,Justice Alito,CASA2025-06-27SCt,"Justice Alito authored a concurring opinion, joined by Justice Thomas. Justice Thomas also filed a concurring opinion, joined by Justice Gorsuch. Justice Kavanaugh filed a concurring opinion. Justice Sotomayor filed a dissenting opinion, joined by Justices Kagan and Jackson. Justice Jackson filed a dissenting opinion. Justice Barrett delivered the opinion of the Court, joined by Chief Justice Roberts, and Justices Thomas, Alito, Gorsuch, and Kavanaugh.","The text does not explicitly state the appointing presidents for all judges. However, it mentions ""Donald J. TRUMP, President of the United States"" in relation to the Executive Order, and the concurring and dissenting opinions mention Justices Thomas, Alito, Gorsuch, Kavanaugh, Roberts, Sotomayor, Kagan, and Jackson. Based on common knowledge, Justices Thomas, Alito, Gorsuch, and Kavanaugh were appointed by Republican presidents (George W. Bush and Donald Trump), while Justices Sotomayor, Kagan, and Jackson were appointed by Democratic presidents (Obama and Biden). Chief Justice Roberts was appointed by George W. Bush.","The text does not explicitly state the appointing parties for all judges. However, based on common knowledge of the appointing presidents, the parties would include Republican and Democratic.","To identify circumstances in which a person born in the United States is not recognized as an American citizen, specifically by no longer issuing or accepting documentation of citizenship when a person's mother was unlawfully present or lawfully present temporarily, and the person's father was not a U.S. citizen or lawful permanent resident at the time of birth.","The text mentions ""noncitizen expectant mothers"" and ""pregnant women whose children will not be United States citizens under the terms of the Citizenship Order."" It also mentions ""immigrant advocacy groups"" and ""immigration rights groups.""",Executive Order,President of the United States,The Supreme Court held that universal injunctions likely exceed the equitable authority Congress has granted to federal courts under the Judiciary Act of 1789. The Court granted the Government's applications for partial stays to the extent that the injunctions were broader than necessary to provide complete relief to each plaintiff with standing to sue.,"June 27, 2025","An Executive Order that identifies circumstances in which a person born in the United States is not recognized as an American citizen, specifically by no longer issuing or accepting documentation of citizenship when a person's mother was unlawfully present or lawfully present temporarily, and the person's father was not a U.S. citizen or lawful permanent resident at the time of birth.",Protecting the Meaning and Value of American Citizenship,"Fourteenth Amendment’s Citizenship Clause, § 1, and § 201 of the Nationality Act of 1940.","President of the United States, federal officials, the United States, executive officials, executive agencies, Government","The Supreme Court granted applications for partial stays, limiting the injunctions to the extent they were broader than necessary to provide complete relief to each plaintiff with standing to sue. The Court also stayed the injunctions to the extent they prohibited executive agencies from developing and issuing public guidance about the Executive Order's implementation.",2025,"Justice Alito, Justice Thomas, Justice Gorsuch, Justice Kavanaugh, Justice Sotomayor, Justice Kagan, Justice Jackson, Justice Barrett, Chief Justice Roberts","The Supreme Court granted the Government's applications for partial stays of the preliminary injunctions, holding that universal injunctions likely exceed federal courts' equitable authority under the Judiciary Act of 1789. The stays were granted to the extent the injunctions were broader than necessary to provide complete relief to each plaintiff with standing to sue.",Citizenship and Executive Orders,Trump Administration,"Persons born in the United States to a mother who was unlawfully present or lawfully present temporarily, and whose father was not a U.S. citizen or lawful permanent resident at the time of birth.",14160,"Justice Alito, along with Justices Thomas and Gorsuch, joined the majority opinion which was unsupportive of the universal injunctions issued by the lower courts. Justice Alito also filed a concurring opinion. The majority opinion itself was unsupportive of the lower courts' broad injunctions.",Supreme Court,Emergency applications for partial stays pending appeal.,"Immigration rights groups, noncitizen expectant mothers, States, organizations, individuals, city/county",Supreme Court of the United States
Justice Gorsuch,Justice Gorsuch,CASA2025-06-27SCt,"Justice Gorsuch joined Justice Thomas's concurring opinion. Justice Gorsuch also joined Chief Justice Roberts, and Justices Thomas, Alito, and Kavanaugh in the majority opinion.","Trump, Roberts (appointed by George W. Bush), Thomas (appointed by George H.W. Bush), Alito (appointed by George W. Bush), Gorsuch (appointed by Trump), Kavanaugh (appointed by Trump).","Republican, Republican, Republican, Republican, Republican, Republican","To identify circumstances in which a person born in the United States is not ""subject to the jurisdiction thereof"" and is thus not recognized as an American citizen.","Noncitizen expectant mothers, individuals, organizations, and States.",Executive Order,President of the United States,"The Judiciary Act of 1789, which authorizes federal courts to issue equitable remedies, does not permit universal injunctions as they lack a historical pedigree in founding-era equity practice.","June 27, 2025",Executive Order restricting birthright citizenship.,Protecting the Meaning and Value of American Citizenship,"Fourteenth Amendment’s Citizenship Clause, Nationality Act of 1940","President of the United States, federal officials, the United States.","Universal injunctions (prohibiting enforcement against anyone, not just the plaintiffs).",2025,"Justice Barrett, Chief Justice Roberts, Justice Thomas, Justice Alito, Justice Gorsuch, Justice Kavanaugh, Justice Sotomayor, Justice Kagan, Justice Jackson.","The Supreme Court granted the Government's applications for partial stays of the preliminary injunctions, limiting them to the extent they were broader than necessary to provide complete relief to each plaintiff with standing to sue. The Court held that universal injunctions likely exceed the equitable authority granted to federal courts by the Judiciary Act of 1789.","Citizenship and immigration policy, specifically birthright citizenship.",Trump Administration,"Persons born in the United States to a mother unlawfully present or lawfully present on a temporary basis, and a father who is neither a U.S. citizen nor lawful permanent resident.",14160,"Supportive of Government Immigration Policy (in the context of limiting universal injunctions, not necessarily the policy itself).",Supreme Court,Emergency applications for partial stays pending appeal.,"Immigrant advocacy groups, noncitizen expectant mothers, States, individuals, organizations.",Supreme Court of the United States
Justice Kavanaugh,Justice Kavanaugh,CASA2025-06-27SCt,"{'name': 'Justice Kavanaugh', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'concurring', 'role': 'author'}",[],[],To identify circumstances in which a person born in the United States is not considered subject to U.S. jurisdiction and thus not recognized as an American citizen.,Other Nonimmigrant,Executive Order,President of the United States,Administrative Procedure Act (APA) - Arbitrary and Capricious,2025-06-27,Executive Order restricting birthright citizenship.,Protecting the Meaning and Value of American Citizenship,Fourteenth Amendment,President of the United States,Nationwide,2025-01-21,Justice Barrett,"Applications for partial stays granted, limiting injunctions to the extent they were broader than necessary to provide complete relief to each plaintiff with standing to sue.",Immigration Enforcement,Trump Administration,"Children born in the United States to mothers unlawfully present or lawfully present on a temporary basis, where the father is not a U.S. citizen or lawful permanent resident.",14160,Supportive of Government Immigration Policy,Supreme Court,Motion for Stay,Individual Noncitizen,Supreme Court of the United States
Chief Justice Roberts,Chief Justice Roberts,CASA2025-06-27SCt,"Chief Justice Roberts, Justices Thomas, Alito, Gorsuch, and Kavanaugh joined the majority opinion. Justice Thomas filed a concurring opinion, joined by Justice Gorsuch. Justice Alito filed a concurring opinion, joined by Justice Thomas. Justice Kavanaugh filed a concurring opinion. Justice Sotomayor filed a dissenting opinion, joined by Justices Kagan and Jackson. Justice Jackson filed a dissenting opinion.",The document does not specify the appointing presidents for the judges on the panel.,The document does not specify the appointing parties for the judges on the panel.,"To identify circumstances in which a person born in the United States is not recognized as an American citizen, specifically by no longer issuing or accepting documentation of citizenship when a person's mother was unlawfully present and the father was not a U.S. citizen or lawful permanent resident, or when the mother's presence was lawful but temporary and the father was not a U.S. citizen or lawful permanent resident.","The plaintiffs included individuals, organizations, and States. Specific immigration statuses of individual plaintiffs are not detailed, but the context implies they are individuals whose children's citizenship is affected by the Executive Order, potentially including noncitizen expectant mothers.",Executive Order,President of the United States,"The Supreme Court held that universal injunctions likely exceed the equitable authority that Congress has granted to federal courts under the Judiciary Act of 1789, as they lack a historical pedigree in English courts of equity at the time of the founding.","June 27, 2025","An Executive Order that identifies circumstances in which a person born in the United States is not recognized as an American citizen, specifically by no longer issuing or accepting documentation of citizenship when a person's mother was unlawfully present and the father was not a U.S. citizen or lawful permanent resident, or when the mother's presence was lawful but temporary and the father was not a U.S. citizen or lawful permanent resident.",Protecting the Meaning and Value of American Citizenship,"Fourteenth Amendment’s Citizenship Clause, Nationality Act of 1940","President of the United States, federal officials, the United States",Nationwide (referred to as 'universal injunctions'),2025,"Chief Justice Roberts, Justice Barrett, Justice Thomas, Justice Alito, Justice Gorsuch, Justice Kavanaugh, Justice Sotomayor, Justice Kagan, Justice Jackson.","The Supreme Court granted the Government's applications for partial stays of the preliminary injunctions, limiting them to the extent they were broader than necessary to provide complete relief to each plaintiff with standing to sue. The Court held that universal injunctions likely exceed federal courts' equitable authority under the Judiciary Act of 1789.","Citizenship, Executive Orders, Constitutional Law",Trump Administration,"Persons born in the United States to a mother who was unlawfully present or lawfully present on a temporary basis, and a father who is neither a U.S. citizen nor a lawful permanent resident.",14160,"The provided text focuses on the legal basis for the Supreme Court's decision regarding the scope of injunctions, not on the individual voting tendencies of judges on immigration policies. Chief Justice Roberts joined the majority opinion which limited the scope of injunctions.",Supreme Court,Emergency applications for partial stays pending appeal.,"Individual Noncitizen, Immigrant Advocacy Group, State Government",Supreme Court of the United States
Justice Sotomayor,Justice Sotomayor,CASA2025-06-27SCt,"Justice Sotomayor authored a dissenting opinion, joined by Justices Kagan and Jackson. Justice Jackson also filed a dissenting opinion.",None,None,To identify circumstances in which a person born in the United States is not considered subject to U.S. jurisdiction and thus not recognized as an American citizen.,"Noncitizen expectant mothers, immigration rights groups, and States.",Executive Order,President of the United States,The Court held that universal injunctions likely exceed the equitable authority that Congress has given to federal courts under the Judiciary Act of 1789.,"June 27, 2025",Executive Order restricting birthright citizenship.,Protecting the Meaning and Value of American Citizenship,Fourteenth Amendment’s Citizenship Clause and the Nationality Act of 1940.,"President of the United States, federal officials, and the United States.","Universal injunctions were granted by the District Courts, but the Supreme Court granted applications for partial stays to limit the injunctions to the extent they were broader than necessary to provide complete relief to each plaintiff with standing to sue.",2025,"Justice Sotomayor, Justice Kagan, Justice Jackson, Justice Barrett, Chief Justice Roberts, Justice Thomas, Justice Alito, Justice Gorsuch, Justice Kavanaugh.",Justice Sotomayor filed a dissenting opinion.,Citizenship and immigration policy.,Trump Administration,"Persons born in the United States to a mother unlawfully or temporarily present, and a father who is neither a U.S. citizen nor a lawful permanent resident.",14160,Unsupportive of Government Immigration Policy,Supreme Court,Motion for Stay,"Individual Noncitizen, Immigrant Advocacy Group, State Government",Supreme Court of the United States
Justice Kagan,Justice Kagan,CASA2025-06-27SCt,Justice Kagan joined Justice Sotomayor's dissenting opinion.,None,None,To restrict birthright citizenship by identifying circumstances in which a person born in the United States is not considered subject to its jurisdiction.,"The plaintiffs included individuals, organizations, and States. Specific immigration statuses of individual plaintiffs are not detailed, but the context implies noncitizen expectant mothers.",Executive Order,President of the United States,Judiciary Act of 1789 - lack of equitable authority for universal injunctions,"June 27, 2025",An Executive Order that restricts birthright citizenship by defining circumstances where a person born in the U.S. is not considered subject to its jurisdiction.,Protecting the Meaning and Value of American Citizenship,Fourteenth Amendment’s Citizenship Clause,President of the United States,"The Supreme Court granted applications for partial stays to the extent that the injunctions were broader than necessary to provide complete relief to each plaintiff with standing to sue, effectively limiting the scope of the previously issued universal injunctions.",2025,Justice Kagan,Justice Kagan joined a dissenting opinion that argued universal injunctions are consistent with equitable principles and that the Executive Order is unconstitutional.,Citizenship,Trump Administration,"Children born in the United States to mothers who were unlawfully present or lawfully present on a temporary basis, and fathers who are neither U.S. citizens nor lawful permanent residents.",14160,Unsupportive of Government Immigration Policy,Supreme Court,Motion for Stay,Individual Noncitizen,Supreme Court of the United States
Justice Jackson,Justice Jackson,CASA2025-06-27SCt,Justice Jackson was part of the dissenting opinion.,None,None,"To identify circumstances in which a person born in the United States is not recognized as an American citizen, specifically when a person's mother was unlawfully present in the U.S. and the father was not a U.S. citizen or lawful permanent resident, or when the mother's presence was lawful but temporary and the father was not a U.S. citizen or lawful permanent resident.","The plaintiffs included individuals, organizations, and States. The individual plaintiffs were described as ""individuals, organizations, and States"" and specifically mentioned ""pregnant women"" and ""noncitizen expectant mothers.""",Executive Order,President of the United States,The Supreme Court held that universal injunctions likely exceed the equitable authority that Congress has given to federal courts under the Judiciary Act of 1789. The Court granted the Government's applications for a partial stay of the injunctions.,"June 27, 2025",An Executive Order that restricts birthright citizenship by identifying circumstances in which a person born in the United States is not recognized as an American citizen.,Protecting the Meaning and Value of American Citizenship,Fourteenth Amendment’s Citizenship Clause and § 201 of the Nationality Act of 1940.,"President of the United States, federal officials, and the United States.","The case concerns 'universal injunctions,' which are injunctions barring executive officials from applying a policy to anyone, not just the plaintiffs.","The Executive Order was issued on the day of the President's inauguration, which was January 20, 2025.",Justice Jackson authored a dissenting opinion.,Justice Jackson joined a dissenting opinion that argued against the majority's decision to grant partial stays of the injunctions.,"Citizenship and immigration policy, specifically concerning birthright citizenship.",Trump Administration,"Persons born in the United States to mothers who were unlawfully present or lawfully present on a temporary basis, and whose fathers were neither U.S. citizens nor lawful permanent residents.",14160,Justice Jackson dissented from the majority opinion.,Supreme Court,Applications for partial stays pending appeal.,"Individuals, organizations, and States.",Supreme Court of the United States
Deborah L. Boardman,Deborah L. Boardman,CASA2025-07-16DMD,Deborah L. Boardman was the United States District Judge who authored the memorandum opinion.,None,None,To rewrite the Citizenship Clause of the Fourteenth Amendment by declaring that citizenship for individuals born in the United States does not extend to children whose parents were in the United States unlawfully or temporarily when the child was born.,"The plaintiffs include five pregnant women without lawful status who expected to give birth in the United States, and two nonprofit organizations that provide services to immigrants.",Executive Order,President of the United States,Administrative Procedure Act (APA) - Arbitrary and Capricious,"July 16, 2025","Executive Order 14,160, entitled “Protecting the Meaning and Value of American Citizenship,” which purports to deny citizenship to babies born in the United States to parents who were in the U.S. unlawfully or temporarily at the time of birth.",Protecting the Meaning and Value of American Citizenship,Fourteenth Amendment,President of the United States,"The court would grant a class-wide preliminary injunction, which was previously nationwide.",None,Deborah L. Boardman,"The court determined it lacked jurisdiction to rule on the motion for a class-wide preliminary injunction due to a pending appeal, but issued an indicative ruling stating it would grant the motion if the appellate court remanded the case for that purpose.",Immigration Enforcement,Trump Administration,Children born in the United States to parents who were in the United States unlawfully or temporarily at the time of birth.,14160,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Non-profit Organization,"United States District Court, D. Maryland"
Judge Niemeyer,Judge Niemeyer,CASA2025-07-29CA4,"{'name': 'Judge Niemeyer', 'appointing_president': None, 'appointing_party': None, 'voting_tendency': 'concurrence', 'role': 'authoring'}",[],[],"The purpose of Executive Order No. 14160, as implied by the context of the injunction and the Supreme Court's ruling, relates to the implementation of immigration plans by executive agencies and the development of public guidance regarding these plans.",Asylum Seeker,Executive Order,President of the United States,[],"July 29, 2025",The case concerns the implementation of Executive Order No. 14160 and the development of public guidance by executive agencies regarding the Executive's plans to implement it.,Executive Order No. 14160,[],President of the United States,"The Supreme Court's partial stay of the preliminary injunction was to the extent it was broader than necessary for complete relief to each plaintiff with standing, and the district court indicated it would grant a class-wide preliminary injunction if it had jurisdiction.",None,"Judge Niemeyer, Judge Gregory, Judge Harris","The Court of Appeals dismissed the pending appeal and remanded the case to the district court to allow the district court to expeditiously comport with the Supreme Court's directions in CASA, ensuring any injunction complies with that decision, and to allow for an immediate ruling on the plaintiffs' motion for class-wide relief.",Immigration Enforcement,Trump Administration,The policy instrument targets executive agencies and their development and issuance of public guidance regarding the Executive's plans to implement Executive Order No. 14160. The plaintiffs are asylum seekers.,14160,Supportive of Government Immigration Policy,Court of Appeals,Appeal Dismissal/Remand,Individual Noncitizen,"United States Court of Appeals, Fourth Circuit"
Judge Gregory,Judge Gregory,CASA2025-07-29CA4,"{'name': 'Niemeyer', 'appointing_president': None, 'appointing_party': None, 'voting_tendency': None, 'role': 'authoring'}",[],[],The purpose of the Executive Order was to outline the executive's plans for implementing immigration policies.,Asylum Seeker,Executive Order,President of the United States,Administrative Procedure Act (APA) - Arbitrary and Capricious,"July 29, 2025",The case concerns a preliminary injunction related to the implementation of Executive Order No. 14160 and the development of public guidance by executive agencies regarding its implementation.,Executive Order No. 14160,Administrative Procedure Act (APA),President of the United States,Nationwide,None,Niemeyer,The court dismissed the appeal and remanded the case to the district court to allow the district court to expeditiously comport with the Supreme Court's directions and to rule on the plaintiffs' motion for class-wide relief.,Immigration Enforcement,Trump Administration,"Individuals seeking to implement or be guided by Executive Order No. 14160, and potentially asylum seekers.",14160,Neutral/Procedural,Court of Appeals,Appeal Dismissal/Remand,Individual Noncitizen,"United States Court of Appeals, Fourth Circuit"
Judge Harris,Judge Harris,CASA2025-07-29CA4,"{'name': 'Judge Niemeyer', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'concurrence', 'author_role': 'author'}",[],[],"The purpose of Executive Order No. 14160 is not explicitly stated, but it is related to the implementation of immigration policies and the development of public guidance regarding these plans.",Asylum Seeker,Executive Order,President of the United States,Principles of equity,"July 29, 2025",The case concerns a preliminary injunction related to the implementation of Executive Order No. 14160 and the development of public guidance by executive agencies regarding its plans.,Executive Order No. 14160,Standing,President of the United States,"The Supreme Court's decision addresses the scope of the preliminary injunction, indicating it should be limited to providing complete relief to each plaintiff with standing and potentially allowing for class-wide relief.",None,Judge Niemeyer,The Court of Appeals dismissed the government's appeal of the preliminary injunction and remanded the case to the district court to allow the district court to expeditiously comport with the Supreme Court's directions and rule on the plaintiffs' motion for class-wide relief.,Immigration Enforcement,Trump Administration,"The policy instrument targets executive agencies and their plans to implement Executive Order No. 14160, and the injunction's scope is related to providing relief to plaintiffs with standing.",14160,Neutral/Procedural,Court of Appeals,Appeal Dismissal/Remand,Class Action,"United States Court of Appeals, Fourth Circuit"
Deborah L. Boardman,Deborah L. Boardman,CASA2025-08-07DMD,Deborah L. Boardman,None,None,"To interpret the Fourteenth Amendment's Citizenship Clause to exclude from birthright citizenship persons born in the U.S. whose mother was unlawfully present or whose mother's presence was lawful but temporary, and whose father was not a U.S. citizen or lawful permanent resident at the time of birth.",Undocumented,Executive Order,President of the United States,Fifth Amendment - Due Process (Procedural),"August 7, 2025","An Executive Order that purports to deny birthright citizenship to children born in the U.S. to mothers who were unlawfully present or had temporary lawful presence, and whose fathers were not U.S. citizens or lawful permanent residents.",Protecting the Meaning and Value of American Citizenship,Fourteenth Amendment,President of the United States,Nationwide,"January 20, 2025",Deborah L. Boardman,"Granted plaintiffs' motion for classwide preliminary injunction, enjoining the enforcement of the Executive Order as to all members of the certified class.",Immigration Enforcement,Trump Administration,"Children born in the United States to mothers who were unlawfully present or had temporary lawful presence, and whose fathers were not U.S. citizens or lawful permanent residents at the time of birth.",14160,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Immigrant Advocacy Group,"United States District Court, D. Maryland"
RODOLFO A. RUIZ II,RODOLFO A. RUIZ II,CM2025-07-23SCFL,"{'name': 'RODOLFO A. RUIZ II', 'appointing_president': None, 'appointing_party': None, 'voting_tendency': None, 'opinion_role': 'Authoring'}",[],[],None,None,None,None,[],07/23/2025,None,None,[],Department of Homeland Security (DHS),None,None,RODOLFO A. RUIZ II,"The court will not consider the Motion until all Defendants have been served and the Court orders expedited briefing. The court notes that the Motion at times appears to seek relief only as to the four named Plaintiffs and at other times appears to seek relief on behalf of the named Plaintiffs and the proposed class. If Plaintiffs seek relief on an emergency ex parte basis, they shall refile the Motion in accordance with the Local Rules and shall further clarify for whom relief is sought on or before July 28, 2025.",None,None,None,None,Neutral/Procedural,District Court,Preliminary Injunction,Individual Noncitizen,UNITED STATES DISTRICT COURT SOUTHERN DISTRICT OF FLORIDA
Judge Gregory,Judge Gregory,CasaInc2025-07-21CA4,"[{'judge_name': 'Judge Gregory', 'appointing_president': null, 'appointing_party': null, 'opinion_type': 'concurrence', 'role': 'authoring'}, {'judge_name': 'Judge King', 'appointing_president': null, 'appointing_party': null, 'opinion_type': 'concurrence', 'role': 'joining'}, {'judge_name': 'Judge Berner', 'appointing_president': null, 'appointing_party': null, 'opinion_type': 'concurrence', 'role': 'joining'}]",[],[],To terminate temporary protected status (TPS) for Afghanistan and Cameroon.,TPS Holder,Agency Action,Department of Homeland Security (DHS),Balance of Equities/Public Interest,"July 21, 2025",The termination of Temporary Protected Status (TPS) for Afghanistan and Cameroon.,None,Administrative Procedure Act (APA) - Arbitrary and Capricious,Secretary of Homeland Security,Undetermined,None,Judge Gregory,"The court denied CASA, Inc.'s emergency motion for postponement of agency action pending appeal, finding insufficient evidence for the extraordinary remedy at this procedural posture, while urging the district court to proceed expeditiously.",Refugee Resettlement,Other,Individuals with Temporary Protected Status (TPS) for Afghanistan and Cameroon.,None,Neutral/Procedural,Court of Appeals,Stay Pending Appeal,Non-profit Organization,"United States Court of Appeals, Fourth Circuit"
Judge King,Judge King,CasaInc2025-07-21CA4,Judge King concurred with the denial of the emergency motion for postponement of agency action.,The provided text does not contain information about the appointing presidents for the judges on the panel.,The provided text does not contain information about the appointing parties for the judges on the panel.,The purpose of the agency action being challenged was the termination of temporary protected status (TPS) for Afghanistan and Cameroon.,TPS Holder,Termination of Temporary Protected Status (TPS),Department of Homeland Security (DHS),Balance of Equities/Public Interest,"July 21, 2025",The termination of Temporary Protected Status (TPS) for Afghanistan and Cameroon.,None,"The court found a plausible claim for relief regarding the alleged ""preordained"" decision to terminate TPS, and considered the balance of equities and public interest.",Department of Homeland Security (DHS),"The court denied the emergency motion for postponement of agency action pending appeal, implying the scope of the requested relief was broad but not granted.",None,"Judge Gregory, Judge King, Judge Berner","The court denied CASA, Inc.'s emergency motion for postponement of agency action pending appeal.",Temporary Protected Status (TPS) termination,"The text does not explicitly state which administration's policy is at issue, but it concerns the termination of TPS.",Individuals with Temporary Protected Status (TPS) for Afghanistan and Cameroon.,None,Neutral/Procedural,Court of Appeals,Emergency Motion for Postponement of Agency Action Pending Appeal,Non-profit Organization,"United States Court of Appeals, Fourth Circuit"
